Account Category,Account Name,Website URL,Username/Email,Password Location,MFA Enabled,MFA Type,MFA Platform/Device,Notes
Email,Gmail,mail.google.com,,,,,,
Email,Outlook,outlook.com,,,,,,
Email,Yahoo Mail,mail.yahoo.com,,,,,,
Email,Other,,,,,,,
Financial,Primary Bank,,,,,,,
Financial,Credit Card Portal,,,,,,,
Financial,Investment Account,,,,,,,
Financial,PayPal,paypal.com,,,,,,
Financial,Venmo,venmo.com,,,,,,
Financial,Cryptocurrency Exchange,,,,,,,
Social Media,Facebook,facebook.com,,,,,,
Social Media,Instagram,instagram.com,,,,,,
Social Media,X (Twitter),x.com,,,,,,
Social Media,LinkedIn,linkedin.com,,,,,,
Cloud Storage,Google Drive,drive.google.com,,,,,,
Cloud Storage,iCloud,icloud.com,,,,,,
Cloud Storage,Dropbox,dropbox.com,,,,,,
Cloud Storage,OneDrive,onedrive.com,,,,,,
Shopping,Amazon,amazon.com,,,,,,
Shopping,eBay,ebay.com,,,,,,
Subscriptions,Netflix,netflix.com,,,,,,
Subscriptions,Spotify,spotify.com,,,,,,
Smart Home,WiFi Router,,,,,,,
Smart Home,Ring,ring.com,,,,,,
Smart Home,Nest,nest.com,,,,,,
Smart Home,Smart Lock,,,,,,,
AI Services,ChatGPT,chatgpt.com,,,,,,
AI Services,Claude,claude.ai,,,,,,
Devices,Smartphone,,,,,,,
Devices,Tablet,,,,,,,
Devices,Computer,,,,,,,
